person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,total_loan_cost,disposable_income_est,emp_to_age_ratio,cred_hist_to_age_ratio,high_risk_flag
24.0,12360.0,OWN,2.0,MEDICAL,C,1600.0,13.57,0,0.13,N,3.0,20-25,low,small,1817.12,10760.0,0.08333333333333333,0.125,0
22.0,60000.0,RENT,0.0,VENTURE,B,25475.0,10.99,1,0.42,N,3.0,20-25,middle,very large,28274.702500000003,34525.0,0.0,0.13636363636363635,0
25.0,225000.0,MORTGAGE,3.0,MEDICAL,C,20000.0,14.27,0,0.09,Y,4.0,20-25,high,very large,22854.0,205000.0,0.12,0.16,0
24.0,225000.0,OWN,8.0,HOMEIMPROVEMENT,B,20000.0,8.88,0,0.09,N,4.0,20-25,high,very large,21776.0,205000.0,0.3333333333333333,0.16666666666666666,0
26.0,225000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600.0,12.18,0,0.09,N,3.0,20-25,high,very large,24230.879999999997,203400.0,0.38461538461538464,0.11538461538461539,0
25.0,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900.0,14.42,1,0.05,Y,3.0,20-25,high,large,13615.980000000001,209104.0,0.24,0.12,0
26.0,225000.0,MORTGAGE,0.0,MEDICAL,C,25000.0,14.17,0,0.11,Y,2.0,20-25,high,very large,28542.5,200000.0,0.0,0.07692307692307693,0
25.0,225000.0,MORTGAGE,5.0,MEDICAL,C,35000.0,13.99,0,0.15,N,4.0,20-25,high,very large,39896.5,190000.0,0.2,0.16,0
23.0,83000.0,RENT,7.0,EDUCATION,B,25300.0,10.99,1,0.3,N,3.0,20-25,high-middle,very large,28080.47,57700.0,0.30434782608695654,0.13043478260869565,0
22.0,12600.0,MORTGAGE,2.0,PERSONAL,A,2000.0,5.42,1,0.16,N,4.0,20-25,low,small,2108.4,10600.0,0.09090909090909091,0.18181818181818182,0
25.0,12600.0,OWN,3.0,PERSONAL,C,1750.0,13.61,0,0.14,N,3.0,20-25,low,small,1988.1749999999997,10850.0,0.12,0.12,0
21.0,42500.0,RENT,3.0,EDUCATION,C,25000.0,12.73,1,0.59,Y,3.0,20-25,low-middle,very large,28182.5,17500.0,0.14285714285714285,0.14285714285714285,1
24.0,41000.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,11.540000000000001,1,0.61,N,3.0,20-25,low-middle,very large,27885.0,16000.0,0.08333333333333333,0.125,0
25.0,12816.0,OWN,0.0,DEBTCONSOLIDATION,C,3000.0,12.87,1,0.23,Y,4.0,20-25,low,small,3386.1,9816.0,0.0,0.16,0
24.0,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650.0,9.91,1,0.28,N,3.0,20-25,low,small,4011.7149999999997,9310.0,0.041666666666666664,0.125,0
26.0,225000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000.0,11.49,0,0.09,N,4.0,20-25,high,very large,22298.0,205000.0,0.15384615384615385,0.15384615384615385,0
25.0,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000.0,19.91,0,0.13,Y,2.0,20-25,high,very large,35973.0,195000.0,0.0,0.08,0
26.0,213000.0,MORTGAGE,6.0,EDUCATION,B,35000.0,10.65,1,0.16,N,2.0,20-25,high,very large,38727.5,178000.0,0.23076923076923078,0.07692307692307693,0
24.0,225000.0,RENT,0.0,MEDICAL,B,6000.0,8.996,0,0.03,N,4.0,20-25,high,medium,6539.76,219000.0,0.0,0.16666666666666666,0
24.0,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500.0,11.83,1,0.35,N,4.0,20-25,low,small,5032.35,8460.0,0.0,0.16666666666666666,0
23.0,12996.0,OWN,0.0,DEBTCONSOLIDATION,C,2400.0,13.49,1,0.18,Y,2.0,20-25,low,small,2723.76,10596.0,0.0,0.08695652173913043,0
22.0,42000.0,RENT,6.0,MEDICAL,D,25000.0,14.59,1,0.6,Y,2.0,20-25,low-middle,very large,28647.499999999996,17000.0,0.2727272727272727,0.09090909090909091,1
26.0,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,1,0.52,N,4.0,20-25,low-middle,very large,27410.0,23000.0,0.07692307692307693,0.15384615384615385,0
25.0,12996.0,OWN,1.0,MEDICAL,D,3600.0,14.59,1,0.28,N,3.0,20-25,low,small,4125.24,9396.0,0.04,0.12,0
22.0,12996.0,OWN,1.0,EDUCATION,B,4750.0,11.52,1,0.37,N,3.0,20-25,low,small,5297.2,8246.0,0.045454545454545456,0.13636363636363635,0
25.0,42360.0,RENT,1.0,EDUCATION,E,25000.0,16.35,1,0.59,Y,3.0,20-25,low-middle,very large,29087.5,17360.0,0.04,0.12,1
21.0,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,1,0.51,N,2.0,20-25,low-middle,very large,27747.500000000004,24000.0,0.19047619047619047,0.09523809523809523,0
25.0,225000.0,MORTGAGE,0.0,VENTURE,F,25000.0,18.67,0,0.11,N,2.0,20-25,high,very large,29667.500000000004,200000.0,0.0,0.08,0
26.0,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,0,0.01,N,4.0,20-25,high,small,3279.6,222000.0,0.038461538461538464,0.15384615384615385,0
23.0,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,0,0.03,N,2.0,20-25,high,medium,8147.25,217500.0,0.34782608695652173,0.08695652173913043,0
26.0,225000.0,MORTGAGE,2.0,VENTURE,B,25000.0,10.08,0,0.11,N,2.0,20-25,high,very large,27520.0,200000.0,0.07692307692307693,0.07692307692307693,0
22.0,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,1,0.51,N,3.0,20-25,low-middle,very large,27957.5,24464.0,0.22727272727272727,0.13636363636363635,0
23.0,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,1,0.5,N,3.0,20-25,low-middle,very large,26975.0,25000.0,0.043478260869565216,0.13043478260869565,0
25.0,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,1,0.5,N,2.0,20-25,low-middle,very large,26497.5,25000.0,0.16,0.08,0
24.0,44000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,15.33,1,0.57,N,2.0,20-25,low-middle,very large,28832.5,19000.0,0.08333333333333333,0.08333333333333333,0
23.0,50000.0,RENT,1.0,VENTURE,B,25000.0,11.83,1,0.5,N,4.0,20-25,low-middle,very large,27957.5,25000.0,0.043478260869565216,0.17391304347826086,0
22.0,50004.0,RENT,0.0,VENTURE,B,25000.0,10.36,1,0.5,N,2.0,20-25,middle,very large,27589.999999999996,25004.0,0.0,0.09090909090909091,0
22.0,50004.0,RENT,3.0,VENTURE,C,25000.0,12.23,1,0.5,N,3.0,20-25,middle,very large,28057.500000000004,25004.0,0.13636363636363635,0.13636363636363635,0
22.0,52000.0,RENT,2.0,EDUCATION,B,25000.0,11.11,1,0.48,N,4.0,20-25,middle,very large,27777.5,27000.0,0.09090909090909091,0.18181818181818182,0
23.0,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,1,0.38,N,4.0,20-25,low,small,5341.05,8250.0,0.13043478260869565,0.17391304347826086,0
24.0,220000.0,MORTGAGE,1.0,EDUCATION,B,25000.0,11.58,0,0.11,N,2.0,20-25,high,very large,27894.999999999996,195000.0,0.041666666666666664,0.08333333333333333,0
23.0,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,0,0.1,N,3.0,20-25,high,very large,22869.0,195000.0,0.21739130434782608,0.13043478260869565,0
25.0,216000.0,MORTGAGE,2.0,EDUCATION,D,25000.0,16.07,0,0.12,N,3.0,20-25,high,very large,29017.5,191000.0,0.08,0.12,0
26.0,216000.0,MORTGAGE,10.0,EDUCATION,C,20000.0,14.22,0,0.09,Y,2.0,20-25,high,very large,22843.999999999996,196000.0,0.38461538461538464,0.07692307692307693,0
23.0,215000.0,MORTGAGE,7.0,MEDICAL,C,35000.0,14.79,0,0.16,Y,3.0,20-25,high,very large,40176.5,180000.0,0.30434782608695654,0.13043478260869565,0
26.0,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,0,0.06,N,2.0,20-25,high,large,12945.6,203000.0,0.4230769230769231,0.07692307692307693,0
23.0,52000.0,RENT,1.0,PERSONAL,C,25000.0,13.22,1,0.48,N,2.0,20-25,middle,very large,28305.000000000004,27000.0,0.043478260869565216,0.08695652173913043,0
26.0,46000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,11.86,1,0.54,N,4.0,20-25,low-middle,very large,27965.0,21000.0,0.07692307692307693,0.15384615384615385,0
22.0,53000.0,RENT,5.0,EDUCATION,C,25000.0,13.43,1,0.47,Y,4.0,20-25,middle,very large,28357.500000000004,28000.0,0.22727272727272727,0.18181818181818182,1
26.0,47000.0,RENT,0.0,HOMEIMPROVEMENT,D,25000.0,15.28,1,0.53,Y,2.0,20-25,low-middle,very large,28820.0,22000.0,0.0,0.07692307692307693,1
23.0,47000.0,RENT,1.0,VENTURE,E,25000.0,17.93,1,0.53,N,2.0,20-25,low-middle,very large,29482.5,22000.0,0.043478260869565216,0.08695652173913043,0
23.0,13200.0,MORTGAGE,2.0,EDUCATION,B,1400.0,9.25,0,0.11,N,4.0,20-25,low,small,1529.5,11800.0,0.08695652173913043,0.17391304347826086,0
21.0,13200.0,OWN,0.0,VENTURE,C,4500.0,12.98,1,0.34,N,4.0,20-25,low,small,5084.099999999999,8700.0,0.0,0.19047619047619047,0
22.0,210000.0,MORTGAGE,6.0,VENTURE,B,16000.0,10.62,0,0.08,N,4.0,20-25,high,very large,17699.2,194000.0,0.2727272727272727,0.18181818181818182,0
26.0,210000.0,OWN,10.0,PERSONAL,B,22000.0,11.83,0,0.1,N,4.0,20-25,high,very large,24602.600000000002,188000.0,0.38461538461538464,0.15384615384615385,0
26.0,48000.0,RENT,5.0,VENTURE,F,25000.0,18.43,1,0.52,N,2.0,20-25,low-middle,very large,29607.499999999996,23000.0,0.19230769230769232,0.07692307692307693,0
22.0,54996.0,RENT,6.0,EDUCATION,B,25000.0,12.677999999999999,1,0.45,N,4.0,20-25,middle,very large,28169.500000000004,29996.0,0.2727272727272727,0.18181818181818182,0
24.0,55000.0,RENT,4.0,HOMEIMPROVEMENT,D,25000.0,12.678,1,0.45,Y,4.0,20-25,middle,very large,28169.500000000004,30000.0,0.16666666666666666,0.16666666666666666,1
23.0,55000.0,RENT,4.0,EDUCATION,B,25000.0,11.36,1,0.45,N,3.0,20-25,middle,very large,27839.999999999996,30000.0,0.17391304347826086,0.13043478260869565,0
23.0,55000.0,RENT,4.0,EDUCATION,D,25000.0,15.65,1,0.45,Y,3.0,20-25,middle,very large,28912.500000000004,30000.0,0.17391304347826086,0.13043478260869565,1
24.0,55164.0,RENT,8.0,PERSONAL,C,25000.0,13.22,1,0.45,Y,4.0,20-25,middle,very large,28305.000000000004,30164.0,0.3333333333333333,0.16666666666666666,1
